Code,Latitude,Longitude
PLAISA,4214.478,-12316.324
PALMER,4207.857,-12306.824
STAVER,4206.141,-12305.504
CHASLZ,4213.945,-12310.949
APPSTR,4215.395,-12310.006
ANDERS,4212.120,-12253.819
ANDREW,4215.787,-12255.961
APLINN,4218.192,-12313.936
APPLEG,4215.288,-12309.176
BAILLZ,4214.855,-12301.518
BALD-H,4219.499,-12312.088
BALDY,4218.861,-12304.123
BARR-R,4214.141,-12254.270
BILLY,4216.990,-12310.589
BILNGS,4212.719,-12243.388
BLUIE,4222.918,-12316.549
BOAZ-M,4207.928,-12302.719
BUNCOM,4210.452,-12259.839
BURNT,4215.185,-12259.639
CAMERO,4211.981,-12302.565
CEMETA,4216.982,-12256.241
DARK-H,4215.390,-12252.063
DONATO,4213.689,-12248.791
DRAPER,4221.323,-12307.239
EMG-LK,4209.140,-12237.478
EVANS,4230.338,-12310.949
FIASCO,4214.066,-12302.865
FLYAIR,4214.600,-12304.288
FOREST,4217.220,-12302.839
FORT-B,4224.403,-12308.902
GOLD-H,4225.908,-12303.033
GRANTS,4222.749,-12315.288
HERL-R,4216.951,-12301.927
HERLIN,4216.487,-12301.320
HULLRD,4218.369,-12254.709
JACKSO,4217.220,-12259.083
JOHNS,4221.412,-12258.661
JVILLE,4219.423,-12258.564
JVILLZ,4218.759,-12257.572
LOGGIN,4213.874,-12255.665
LONSWD,4213.973,-12303.328
LOOPRD,4223.795,-12318.027
MARTIN,4231.916,-12309.559
MILLER,4225.026,-12306.212
MT-ISA,4218.190,-12306.284
MTBALD,4224.682,-12317.003
MULE-M,4205.316,-12304.507
MURPHY,4220.860,-12320.000
NAVAL,4220.809,-12256.703
NELSON,4214.397,-12256.807
NUGGET,4227.164,-12303.428
OFF-RG,4212.967,-12305.053
OLD-BL,4218.464,-12309.535
PHILS,4209.159,-12303.247
PICKET,4222.616,-12318.305
PIKES,4223.404,-12305.805
PORMA,4215.911,-12257.382
PRSPCT,4217.151,-12319.383
QTZ-PK,4213.575,-12310.183
RAB-PK,4216.494,-12305.163
RABIES,4215.812,-12303.090
RIES,4220.574,-12317.007
ROGRIV,4226.257,-12310.549
RUCH,4214.189,-12302.537
SAMS,4230.009,-12258.460
SQUIRS,4213.119,-12301.538
STERCR,4215.081,-12258.113
STERLI,4213.485,-12256.566
SUGARL,4217.006,-12307.437
SUGRLF,4207.263,-12318.608
TLWBX,4211.779,-12309.090
TROVIN,4218.251,-12313.316
WALKER,4232.223,-12320.067
WALKLZ,4232.798,-12322.990
WEL-RG,4215.202,-12308.359
WIMER,4232.601,-12308.766
WMS-OL,4213.334,-12314.728
WOODLN,4213.881,-12300.217
WOODRA,4213.384,-12300.152
YALECR,4208.907,-12257.200
AMENT,4225.865,-12317.233
LW-RAB,4214.991,-12302.658
HARTLZ,4209.512,-12303.060
WESTLZ,4219.308,-12256.519
COWHOR,4209.571,-12302.748
REDLIL,4214.311,-12307.161
VLYVW,4213.377,-12303.078
NOZ01,4214.023,-12301.560
NOZ02,4214.367,-12301.706
NOZ03,4214.218,-12304.069
NOZ04,4214.508,-12304.804
NOZ05,4216.741,-12300.356
NOZ06,4216.833,-12258.589
NOZ07,4216.393,-12258.255
NOZ08,4215.448,-12252.861
NOZ09,4215.386,-12310.904
NOZ10,4216.364,-12312.781
NOZ11,4217.582,-12313.339
NOZ12,4213.893,-12303.029
NOZ13,4213.988,-12303.603
NOZ14,4213.397,-12303.334
NOZ15,4212.676,-12303.543
NOZ16,4211.796,-12302.936
NOZ17,4210.495,-12302.839
NOZ18,4209.273,-12303.112
NOZ19,4206.344,-12305.181
NOZ20,4205.661,-12305.775
NOZ21,4205.081,-12305.883
NOZ22,4218.043,-12312.504
NOZ23,4207.449,-12304.603
NOZ24,4215.308,-12250.342
